G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,5,12,8,7,2,14,6,15,11,4,1,16,13,9,3,10
$G_{5}$ ,6,11,8,7,3,14,4,15,12,5,1,16,13,9,2,10
$G_{4}$ ,2,11,8,7,6,14,5,15,12,4,1,16,13,9,3,10
$G_{4}$ $G_{5}$ ,4,11,8,7,6,14,3,15,12,5,1,16,13,9,2,10
$G_{3}$ ,6,11,9,7,2,14,5,16,12,4,1,15,13,8,3,10
$G_{3}$ $G_{5}$ ,6,11,9,7,3,14,5,16,12,4,1,15,13,8,2,10
$G_{3}$ $G_{4}$ ,6,11,8,7,5,14,4,16,12,3,1,15,13,9,2,10
$G_{3}$ $G_{4}$ $G_{5}$ ,6,11,8,7,5,14,3,16,12,4,1,15,13,9,2,10
$G_{2}$ ,3,11,9,7,2,15,6,16,12,4,1,14,13,8,5,10
$G_{2}$ $G_{5}$ ,3,11,9,7,2,15,6,16,12,4,1,14,13,8,5,10
$G_{2}$ $G_{4}$ ,2,11,9,7,4,15,6,16,12,3,1,14,13,8,5,10
$G_{2}$ $G_{4}$ $G_{5}$ ,2,11,8,7,4,15,6,16,12,3,1,14,13,9,5,10
$G_{2}$ $G_{3}$ ,4,11,9,6,2,15,7,16,12,3,1,14,13,8,5,10
$G_{2}$ $G_{3}$ $G_{5}$ ,5,11,9,6,2,15,7,16,12,3,1,14,13,8,4,10
$G_{2}$ $G_{3}$ $G_{4}$ ,4,11,9,7,2,15,6,16,12,3,1,14,13,8,5,10
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,4,11,9,7,3,15,6,16,12,2,1,14,13,8,5,10
$G_{1}$ ,4,12,9,7,5,14,6,15,10,2,1,16,13,8,3,11
$G_{1}$ $G_{5}$ ,4,11,9,7,6,14,5,15,12,3,1,16,13,8,2,10
$G_{1}$ $G_{4}$ ,3,12,9,6,7,14,5,15,11,2,1,16,13,8,4,10
$G_{1}$ $G_{4}$ $G_{5}$ ,4,11,9,6,7,14,5,15,12,3,1,16,13,8,2,10
$G_{1}$ $G_{3}$ ,5,12,9,7,4,14,6,16,11,2,1,15,13,8,3,10
$G_{1}$ $G_{3}$ $G_{5}$ ,6,11,9,7,5,14,4,16,12,3,1,15,13,8,2,10
$G_{1}$ $G_{3}$ $G_{4}$ ,4,11,9,6,7,14,5,16,12,2,1,15,13,8,3,10
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,5,11,9,6,8,14,4,16,12,3,1,15,13,7,2,10
$G_{1}$ $G_{2}$ ,3,11,9,6,4,15,8,16,12,2,1,14,13,7,5,10
$G_{1}$ $G_{2}$ $G_{5}$ ,3,11,9,6,5,15,8,16,12,2,1,14,13,7,4,10
$G_{1}$ $G_{2}$ $G_{4}$ ,2,11,9,6,5,15,7,16,12,3,1,14,13,8,4,10
$G_{1}$ $G_{2}$ $G_{4}$ $G_{5}$ ,3,11,9,5,7,15,6,16,12,2,1,14,13,8,4,10
$G_{1}$ $G_{2}$ $G_{3}$ ,4,11,9,6,3,15,8,16,12,2,1,14,13,7,5,10
$G_{1}$ $G_{2}$ $G_{3}$ $G_{5}$ ,5,11,9,6,4,15,8,16,12,2,1,14,13,7,3,10
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ ,3,11,9,6,5,15,8,16,12,2,1,14,13,7,4,10
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,3,11,9,5,6,15,8,16,12,1,2,14,13,7,4,10
