G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,3,12,9,8,2,15,5,16,13,4,1,14,11,7,6,10
$G_{5}$ ,3,12,9,7,2,15,6,16,13,4,1,14,11,8,5,10
$G_{4}$ ,3,11,9,8,2,15,5,16,13,4,1,14,12,7,6,10
$G_{4}$ $G_{5}$ ,3,11,8,7,2,15,6,16,13,4,1,14,12,9,5,10
$G_{3}$ ,4,11,9,7,1,15,5,16,14,3,2,13,12,8,6,10
$G_{3}$ $G_{5}$ ,4,11,9,7,1,14,6,16,15,3,2,13,12,8,5,10
$G_{3}$ $G_{4}$ ,4,11,9,7,1,15,5,16,13,3,2,14,12,8,6,10
$G_{3}$ $G_{4}$ $G_{5}$ ,4,11,9,7,1,14,6,16,15,3,2,13,12,8,5,10
$G_{2}$ ,3,11,9,7,2,15,6,16,13,4,1,14,12,8,5,10
$G_{2}$ $G_{5}$ ,3,11,9,6,2,15,7,16,14,4,1,13,12,8,5,10
$G_{2}$ $G_{4}$ ,3,11,9,7,2,15,5,16,13,4,1,14,12,8,6,10
$G_{2}$ $G_{4}$ $G_{5}$ ,3,11,9,7,2,15,6,16,14,4,1,13,12,8,5,10
$G_{2}$ $G_{3}$ ,4,11,10,5,1,15,8,16,14,3,2,13,12,6,7,9
$G_{2}$ $G_{3}$ $G_{5}$ ,4,11,10,5,1,15,8,16,14,3,2,13,12,7,6,9
$G_{2}$ $G_{3}$ $G_{4}$ ,4,11,10,5,1,15,6,16,14,3,2,13,12,7,8,9
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,4,11,10,5,1,15,7,16,14,3,2,13,12,8,6,9
$G_{1}$ ,2,10,9,8,4,15,7,16,13,3,1,14,12,6,5,11
$G_{1}$ $G_{5}$ ,3,11,9,6,4,15,8,16,13,2,1,14,12,7,5,10
$G_{1}$ $G_{4}$ ,2,11,9,8,4,15,6,16,13,3,1,14,12,7,5,10
$G_{1}$ $G_{4}$ $G_{5}$ ,2,11,9,6,5,15,7,16,13,3,1,14,12,8,4,10
$G_{1}$ $G_{3}$ ,4,10,9,7,3,15,8,16,13,2,1,14,12,6,5,11
$G_{1}$ $G_{3}$ $G_{5}$ ,5,11,9,6,3,15,8,16,14,2,1,13,12,7,4,10
$G_{1}$ $G_{3}$ $G_{4}$ ,4,11,9,6,3,15,8,16,13,1,2,14,12,7,5,10
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,4,11,9,6,3,15,8,16,13,2,1,14,12,7,5,10
$G_{1}$ $G_{2}$ ,2,11,9,6,4,15,8,16,13,3,1,14,12,7,5,10
$G_{1}$ $G_{2}$ $G_{5}$ ,2,11,9,6,4,15,8,16,13,3,1,14,12,7,5,10
$G_{1}$ $G_{2}$ $G_{4}$ ,1,11,9,6,4,15,8,16,13,3,2,14,12,7,5,10
$G_{1}$ $G_{2}$ $G_{4}$ $G_{5}$ ,2,11,9,6,4,15,8,16,13,3,1,14,12,7,5,10
$G_{1}$ $G_{2}$ $G_{3}$ ,4,10,11,5,1,15,8,16,13,3,2,14,12,6,7,9
$G_{1}$ $G_{2}$ $G_{3}$ $G_{5}$ ,4,11,10,5,3,15,8,16,14,2,1,13,12,7,6,9
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ ,4,11,10,5,2,15,8,16,13,1,3,14,12,6,7,9
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,4,11,10,5,3,15,8,16,14,2,1,13,12,7,6,9
