G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,0.6243121314892266,0.49198505013424176,0.5072406568198298,0.5775501016556805,0.677538605846759,0.32716903550800003,0.633801195771393,0.35890414560610456,0.5359649227472287,0.6390924614660515,0.7310885396873303,0.31320756219352397,0.4001320031000536,0.5020033230481838,0.686267852835251,0.48125328231803
$G_{5}$ ,0.6182077567203328,0.48688214882367004,0.5028834182274108,0.5730730839687672,0.6700459068478788,0.32105327096367786,0.6295876824861201,0.35020254693349406,0.5279160702491368,0.6331828280706687,0.7252235264316902,0.30111994925390934,0.3956398807322762,0.49718253579729077,0.6822049590569499,0.47722230805383675
$G_{4}$ ,0.614796054359412,0.4727258247943877,0.4952161256780356,0.5553088014116003,0.6085413675264073,0.27842978327327633,0.6184999672803785,0.31205205199979397,0.5104560496681195,0.615973723477326,0.6967740462533779,0.26622862813462866,0.3673957771150954,0.47701661730652456,0.6601080152281011,0.4701457172382006
$G_{4}$ $G_{5}$ ,0.6086916795905182,0.46762292348381596,0.4908588870856167,0.550831783724687,0.6010486685275271,0.2723140187289542,0.6142864539951055,0.30335045332718347,0.5024071971700275,0.6100640900819434,0.6909090329977376,0.254141015195014,0.36290365474731795,0.4721958300556316,0.6560451214498,0.46611474297400735
$G_{3}$ ,0.5654943995959139,0.46150399920626733,0.4652495241126183,0.5673651868088855,0.6658677490140921,0.31220102765628127,0.608061960475191,0.3040155901574823,0.5050519062055703,0.6106936749009192,0.6887831213085952,0.30191761029261716,0.35910765398958766,0.48821042124864605,0.6610029999386636,0.45037219648892707
$G_{3}$ $G_{5}$ ,0.55939002482702,0.4564010978956956,0.46089228552019934,0.5628881691219723,0.6583750500152119,0.30608526311195905,0.6038484471899179,0.2953139914848718,0.4970030537074783,0.6047840415055366,0.6829181080529549,0.2898299973530025,0.35461553162181025,0.48338963399775303,0.6569401061603624,0.44634122222473377
$G_{3}$ $G_{4}$ ,0.5559783224660994,0.44224477386641325,0.45322499297082425,0.5451238865648053,0.5968705106937404,0.2634617754215576,0.5927607319841764,0.2571634965511717,0.47954303312646107,0.5875749369121939,0.6544686278746427,0.2549386762337218,0.3263714280046295,0.4632237155069868,0.6348431623315137,0.4392646314090976
$G_{3}$ $G_{4}$ $G_{5}$ ,0.5498739476972055,0.4371418725558415,0.4488677543784053,0.540646868877892,0.5893778116948603,0.2573460108772354,0.5885472186989034,0.24846189787856127,0.4714941806283691,0.5816653035168112,0.6486036146190024,0.24285106329410716,0.3218793056368521,0.4584029282560938,0.6307802685532125,0.43523365714490436
$G_{2}$ ,0.5581059190667463,0.42452098698181606,0.4054372829615493,0.5238597502597052,0.6236023144561587,0.1904829524471942,0.531539968810333,0.21145402774555766,0.4700644543087893,0.5725419016406331,0.6699480911918141,0.24204425668218799,0.28799044881870717,0.4533582295801885,0.5585020489311449,0.44981014395927654
$G_{2}$ $G_{5}$ ,0.5520015442978525,0.41941808567124433,0.40108004436913036,0.519382732572792,0.6161096154572786,0.18436718790287202,0.52732645552506,0.20275242907294722,0.46201560181069734,0.5666322682452505,0.6640830779361738,0.2299566437425733,0.2834983264509297,0.4485374423292955,0.5544391551528436,0.4457791696950833
$G_{2}$ $G_{4}$ ,0.5485898419369319,0.405261761641962,0.3934127518197552,0.501618450015625,0.5546050761358071,0.14174370021247054,0.5162387403193185,0.16460193413924706,0.44455558122968003,0.5494231636519079,0.6356335977578614,0.19506532262329265,0.25525422283374893,0.4283715238385293,0.532342211323995,0.4387025788794472
$G_{2}$ $G_{4}$ $G_{5}$ ,0.5424854671680381,0.40015886033139025,0.3890555132273363,0.4971414323287118,0.547112377136927,0.13562793566814835,0.5120252270340454,0.15590033546663662,0.43650672873158813,0.5435135302565252,0.6297685845022213,0.182977709683678,0.25076210046597147,0.42355073658763626,0.5282793175456937,0.43467160461525395
$G_{2}$ $G_{3}$ ,0.4992881871734336,0.39403993605384163,0.36344615025433785,0.5136748354129101,0.6119314576234919,0.17551494459547545,0.5058007335141309,0.1565654722969354,0.4391514377671309,0.544143115075501,0.6276426728130788,0.23075430478128114,0.24696609970824127,0.43956532778065077,0.5332371960345573,0.4189290581301736
