G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,0.6645259680144496,0.4789418332185218,0.5653970746978303,0.586118919401197,0.6891110342024922,0.3250695288939639,0.6553082797199815,0.3228460079914047,0.48468112860932233,0.6670358406842093,0.7678966655144103,0.3129017784201694,0.40141393578338935,0.5553448861997171,0.675121524263961,0.5099881551461986
$G_{5}$ ,0.6198880632355337,0.44235730516351507,0.5345546466999175,0.5540678182423,0.6336172200947452,0.28093262268274205,0.6272471746473968,0.2619486553886376,0.4212457087948765,0.6247888516483658,0.7239997259022135,0.2472212491827364,0.3636802575186974,0.5206023388705432,0.6471672907756877,0.48217644416995836
$G_{4}$ ,0.6537902904836232,0.45963943151648756,0.5553032190408198,0.5627591520463219,0.6247447144323354,0.2742402908014884,0.6399767557217093,0.2685077291962556,0.4574409152543962,0.6425384331154639,0.7294171477799416,0.2659245389419722,0.36923894209762637,0.5287642824506577,0.6470483331765438,0.5010554579256926
$G_{4}$ $G_{5}$ ,0.6091523857047074,0.4230549034614808,0.5244607910429069,0.5307080508874249,0.5692509003245884,0.23010338459026658,0.6119156506491246,0.20761037659348847,0.3940054954399503,0.6002914440796204,0.6855202081677448,0.2002440097045392,0.33150526383293444,0.4940217351214837,0.6190940996882704,0.4732437469494524
$G_{3}$ ,0.6077802375037095,0.4473332809910969,0.5323604973968384,0.5721757349494475,0.6736514922397117,0.3074642326232206,0.6255161246401251,0.27181404425068356,0.4439917646986068,0.6415839200122495,0.7176100229811901,0.29764669439293506,0.3581866261786435,0.5419591929623305,0.6558891340916021,0.4785319799516126
$G_{3}$ $G_{5}$ ,0.5631423327247937,0.41074875293609014,0.5015180693989255,0.5401246337905505,0.6181576781319645,0.2633273264119988,0.5974550195675404,0.2109166916479164,0.38055634488416096,0.5993369309764061,0.6737130833689936,0.23196616515550206,0.32045294791395157,0.5072166456331565,0.6279349006033288,0.4507202689753724
$G_{3}$ $G_{4}$ ,0.5970445599728832,0.4280308792890627,0.522266641739828,0.5488159675945724,0.6092851724695548,0.25663499453074506,0.6101846006418529,0.21747576545553438,0.41675155134368064,0.6170865124435041,0.6791305052467216,0.2506694549147378,0.32601163249288057,0.5153785892132711,0.627815943004185,0.4695992827311067
$G_{3}$ $G_{4}$ $G_{5}$ ,0.5524066551939675,0.3914463512340559,0.491424213741915,0.5167648664356753,0.5537913583618078,0.21249808831952327,0.5821234955692681,0.15657841285276727,0.3533161315292348,0.5748395234076606,0.6352335656345249,0.1849889256773048,0.2882779542281886,0.48063604188409703,0.5998617095159117,0.44178757175486644
$G_{2}$ ,0.6160007580912431,0.4195994054937435,0.49370937138421545,0.5356620991482424,0.6474655965414453,0.18972573146755994,0.5443649049666401,0.18514157563534533,0.41035700041841033,0.6091462193863408,0.6971960444127338,0.24059781566880864,0.28776727886013226,0.5123149338414525,0.5754800188290735,0.4779794610451328
$G_{2}$ $G_{5}$ ,0.5713628533123273,0.38301487743873674,0.4628669433863025,0.5036109979893454,0.5919717824336982,0.14558882525633815,0.5163037998940553,0.1242442230325782,0.34692158060396455,0.5668992303504975,0.653299104800537,0.1749172864313756,0.25003360059544033,0.4775723865122785,0.5475257853408001,0.45016775006889254
$G_{2}$ $G_{4}$ ,0.6052650805604168,0.4002970037917093,0.4836155157272049,0.5123023317933673,0.5830992767712885,0.13889649337508442,0.5290333809683678,0.13080329684019618,0.3831167870634842,0.5846488118175954,0.6587165266782651,0.1936205761906114,0.25559228517436927,0.4857343300923931,0.5474068277416564,0.46904676382462684
$G_{2}$ $G_{4}$ $G_{5}$ ,0.5606271757815009,0.3637124757367025,0.452773087729292,0.4802512306344702,0.5276054626635415,0.09475958716386261,0.5009722758957831,0.06990594423742905,0.31968136724903834,0.5424018227817521,0.6148195870660683,0.1279400469531784,0.2178586069096774,0.45099178276321905,0.519452594253383,0.4412350528483866
$G_{2}$ $G_{3}$ ,0.559255027580503,0.38799085326631866,0.4606727940832236,0.5217189146964929,0.6320060545786648,0.17212043519681663,0.5145727498867837,0.1341096118946242,0.36966763650769485,0.583694298714381,0.6469094018795136,0.22534273164157426,0.24453996925538643,0.49892924060406596,0.5562476286567146,0.4465232858505468
$G_{2}$ $G_{3}$ $G_{5}$ ,0.5146171228015872,0.3514063252113119,0.4298303660853106,0.4896678135375958,0.5765122404709178,0.12798352898559484,0.4865116448141989,0.07321225929185705,0.306232216693249,0.5414473096785376,0.603012462267317,0.15966220240414125,0.20680629099069453,0.4641866932748919,0.5282933951684412,0.41871157487430655
$G_{2}$ $G_{3}$ $G_{4}$ ,0.5485193500496768,0.3686884515642843,0.45057893842621305,0.4983591473416178,0.5676397348085079,0.12129119710434112,0.4992412258885115,0.079771333099475,0.3424274231527687,0.5591968911456355,0.6084298841450451,0.17836549216337702,0.21236497556962347,0.4723486368550065,0.5281744375692975,0.43759058863004086
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.503881445270761,0.3321039235092776,0.4197365104283001,0.4663080461827207,0.5121459207007609,0.07715429089311931,0.4711801208159267,0.01887398049670787,0.27899200333832286,0.5169499021097922,0.5645329445328484,0.112684962925944,0.17463129730493154,0.43760608952583246,0.5002202040810241,0.4097788776538006
$G_{1}$ ,0.6207666080582644,0.4435331469451129,0.5090063415230704,0.5567072916287213,0.5928363165808804,0.2718808319816747,0.5921411071808249,0.260501322508264,0.4584092156794844,0.6431136532761978,0.6950698766532006,0.25127658459823843,0.34107372225045063,0.5328630634792106,0.6329600325878199,0.4511290678252213
$G_{1}$ $G_{5}$ ,0.5761287032793485,0.4069486188901062,0.4781639135251576,0.5246561904698243,0.5373425024731334,0.22774392577045288,0.5640800021082402,0.1996039699054969,0.3949737958650385,0.6008666642403544,0.6511729370410039,0.18559605536080537,0.3033400439857587,0.4981205161500365,0.6050057990995464,0.42331735684898103
$G_{1}$ $G_{4}$ ,0.6100309305274382,0.4242307452430787,0.49891248586605996,0.5333475242738462,0.5284699968107237,0.22105159388919915,0.5768095831825526,0.20616304371311486,0.4311690023245582,0.6186162457074523,0.6565903589187321,0.20429934512004116,0.3088987285646877,0.5062824597301511,0.6048868415004027,0.44219637060471534
$G_{1}$ $G_{4}$ $G_{5}$ ,0.5653930257485222,0.3876462171880719,0.4680700578681471,0.5012964231149492,0.4729761827029766,0.17691468767797736,0.548748478109968,0.14526569111034776,0.3677335825101124,0.5763692566716089,0.6126934193065353,0.13861881588260816,0.27116505029999577,0.471539912400977,0.5769326080121294,0.4143846596284751
$G_{1}$ $G_{3}$ ,0.5640208775475245,0.41192459471768805,0.4759697642220786,0.5427641071769719,0.5773767746180998,0.25427553571093137,0.5623489521009686,0.20946935876754286,0.41771985176876886,0.617661732604238,0.6447832341199806,0.23602150057100402,0.2978464126457048,0.5194773702418239,0.613727642415461,0.4196728926306353
$G_{1}$ $G_{3}$ $G_{5}$ ,0.5193829727686086,0.37534006666268127,0.4451273362241657,0.5107130060180748,0.5218829605103529,0.21013862949970957,0.5342878470283838,0.14857200616477573,0.354284431954323,0.5754147435683946,0.6008862945077839,0.170340971333571,0.2601127343810129,0.4847348229126499,0.5857734089271877,0.39186118165439504
$G_{1}$ $G_{3}$ $G_{4}$ ,0.5532852000166981,0.3926221930156538,0.4658759085650681,0.5194043398220967,0.513010454847943,0.20344629761845584,0.5470174281026963,0.1551310799723937,0.3904796384138427,0.5931643250354925,0.6063037163855121,0.18904426109280678,0.26567141895994184,0.4928967664927645,0.5856544513280438,0.41074019541012935
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.5086472952377822,0.35603766496064704,0.43503348056715524,0.48735323866319963,0.45751664074019605,0.15930939140723405,0.5189563230301115,0.09423372736962657,0.32704421859939686,0.5509173359996492,0.5624067767733153,0.12336373185537376,0.2279377406952499,0.4581542191635904,0.5577002178397705,0.3829284844338891
$G_{1}$ $G_{2}$ ,0.5722413981350579,0.38419071922033465,0.4373186382094556,0.5062504713757667,0.5511908789198334,0.13653703455527072,0.4811977324274834,0.12279689015220463,0.3840850874885724,0.5852240319783294,0.6243692555515241,0.17897262184687762,0.22742706532719356,0.489833111120946,0.5333185271529324,0.4191203737241555
$G_{1}$ $G_{2}$ $G_{5}$ ,0.5276034933561421,0.34760619116532787,0.40647621021154273,0.47419937021686964,0.4956970648120865,0.09240012834404891,0.4531366273548986,0.061899537549437514,0.32064966767412656,0.5429770429424859,0.5804723159393274,0.1132920926094446,0.18969338706250166,0.4550905637917719,0.505364293664659,0.39130866274791526
$G_{1}$ $G_{2}$ $G_{4}$ ,0.5615057206042317,0.3648883175183004,0.4272247825524451,0.4828907040208915,0.4868245591496767,0.0857077964627952,0.4658662084292112,0.06845861135705547,0.35684487413364624,0.5607266244095839,0.5858897378170556,0.13199538236868036,0.1952520716414306,0.46325250737188656,0.5052453360655152,0.41018767650364957
$G_{1}$ $G_{2}$ $G_{4}$ $G_{5}$ ,0.5168678158253158,0.32830378946329364,0.39638235455453225,0.4508396028619945,0.4313307450419297,0.04157089025157339,0.4378051033566264,0.007561258754288338,0.2934094543192004,0.5184796353737404,0.5419927982048588,0.06631485313124735,0.15751839337673867,0.4285099600427124,0.4772911025772418,0.3823759655274093
$G_{1}$ $G_{2}$ $G_{3}$ ,0.515495667624318,0.3525821669929098,0.40428206090846375,0.49230728692401715,0.535731336957053,0.11893173828452742,0.4514055773476271,0.07176492641148347,0.3433957235778569,0.5597721113063695,0.5740826130183041,0.1637175378196432,0.1841997557224477,0.4764474178835594,0.5140861369805735,0.3876641985295695
$G_{1}$ $G_{2}$ $G_{3}$ $G_{5}$ ,0.47085776284540215,0.315997638937903,0.3734396329105509,0.46025618576512006,0.48023752284930593,0.07479483207330563,0.4233444722750423,0.010867573808716325,0.27996030376341113,0.5175251222705262,0.5301856734061073,0.09803700858221019,0.1464660774577558,0.4417048705543853,0.4861319034923001,0.35985248755332927
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ ,0.5047599900934917,0.33327976529087555,0.39418820525145326,0.46894751956914205,0.4713650171868962,0.06810250019205188,0.43607405334935484,0.017426647616334303,0.31615551022293076,0.5352747037376241,0.5356030952838355,0.11674029834144599,0.15202476203668475,0.4498668141344999,0.4860129458931563,0.3787315013090636
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.4601220853145758,0.29669523723586877,0.3633457772535404,0.43689641841024496,0.41587120307914915,0.023965593980830105,0.4080129482767701,-0.04347070498643284,0.252720090408485,0.49302771470178064,0.4917061556716387,0.05105976910401297,0.11429108377199283,0.4151242668053258,0.4580587124048829,0.35091979033282333
