G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,0.6513671002613037,0.42144864924705683,0.48204524911703006,0.49356122711313705,0.6822537628617589,0.3178126470687099,0.5502545331980099,0.286734239559239,0.3651879241849053,0.6332932195050258,0.7094783510515981,0.33494671296227707,0.43058354588796405,0.497782803299711,0.5422851205778173,0.44488338240084363
$G_{5}$ ,0.5794088076915077,0.36020839400995003,0.4367929213856265,0.4611797955095796,0.6027087634512295,0.26228187966512867,0.5037062821515738,0.2170490589669703,0.2795672416968384,0.5689611768368339,0.6570661214534133,0.277188404339208,0.3725527115264184,0.44928631239372785,0.5179311551031526,0.40640360211794113
$G_{4}$ ,0.6428891971153046,0.41246222871704274,0.48142489534760935,0.4820316279493446,0.6571179525855173,0.2921774446028816,0.5466937085980914,0.2575106986321345,0.35129468218930604,0.6178981595173481,0.6811235908061501,0.31157186553278626,0.40905045189696304,0.4838054916967601,0.5270350267500976,0.44450351960440343
$G_{4}$ $G_{5}$ ,0.5709309045455084,0.3512219734799359,0.43617256761620576,0.4496501963457872,0.5775729531749878,0.23664667719930035,0.5001454575516553,0.18782551803986577,0.26567399970123906,0.5535661168491561,0.6287113612079653,0.2538135569097172,0.3510196175354173,0.435309000790777,0.5026810612754329,0.40602373932150093
$G_{3}$ ,0.5495548263370748,0.3696512519056665,0.41087764472528326,0.4753598150173626,0.6632462906973475,0.2904255459548906,0.5017683186856223,0.1951628507026717,0.3076229243076616,0.5862322448290097,0.6335930246553401,0.3139318295381123,0.3578609986603704,0.4739103718717631,0.49837807357880926,0.3935112258784374
$G_{3}$ $G_{5}$ ,0.47759653376727873,0.3084109966685596,0.3656253169938797,0.44297838341380513,0.5837012912868181,0.23489477855130944,0.45522006763918615,0.125477670110403,0.22200224181959466,0.5219002021608177,0.5811807950571553,0.2561735209150432,0.29983016429882475,0.42541388096578,0.4740241081041444,0.3550314455955348
$G_{3}$ $G_{4}$ ,0.5410769231910756,0.36066483137565236,0.41025729095586255,0.4638302158535702,0.638110480421106,0.26479034348906233,0.4982074940857039,0.1659393097755672,0.2937296823120623,0.5708371848413318,0.6052382644098921,0.29055698210862146,0.3363279046693694,0.4599330602688122,0.48312797975108956,0.3931313630819972
$G_{3}$ $G_{4}$ $G_{5}$ ,0.46911863062127956,0.29942457613854545,0.36500496322445897,0.43144878425001276,0.5585654810105766,0.20925957608548112,0.45165924303926774,0.09625412918329847,0.20810899982399533,0.5065051421731399,0.5528260348117073,0.23279867348555236,0.27829707030782375,0.4114365693628291,0.4587740142764247,0.3546515827990947
$G_{2}$ ,0.62721961021215,0.3951647788270149,0.44476676341622806,0.46817340747364733,0.6548252514420161,0.2281777374708578,0.47938425300397197,0.1923550723464553,0.3175816951246465,0.5915662032015351,0.6646239180906228,0.3028251184489211,0.3803055311737784,0.4627576950032884,0.48045820355425134,0.431089824648241
$G_{2}$ $G_{5}$ ,0.555261317642354,0.333924523589908,0.3995144356848245,0.4357919758700899,0.5752802520314866,0.1726469700672766,0.4328360019575358,0.12266989175418659,0.23196101263657956,0.527234160533343,0.612211688492438,0.24506680982585205,0.3222746968122327,0.41426120409730527,0.4561042380795866,0.39261004436533853
$G_{2}$ $G_{4}$ ,0.618741707066151,0.38617835829700076,0.4441464096468073,0.45664380830985496,0.6296894411657745,0.2025425350050295,0.47582342840405356,0.16313153141935077,0.30368845312904724,0.5761711432138573,0.6362691578451748,0.27945027101943026,0.35877243718277735,0.4487803834003375,0.46520810972653165,0.4307099618518008
$G_{2}$ $G_{4}$ $G_{5}$ ,0.5467834144963548,0.3249381030598939,0.39889408191540376,0.4242623767062975,0.550144441755245,0.1470117676014483,0.4292751773576174,0.09344635082708207,0.21806777064098026,0.5118391005456653,0.58385692824699,0.2216919623963612,0.30074160282123164,0.40028389249435437,0.4408541442518669,0.39223018156889833
$G_{2}$ $G_{3}$ ,0.5254073362879211,0.34336738148562446,0.37359915902448126,0.44997199537787286,0.6358177792776047,0.20079063635703853,0.4308980384915845,0.100783683489888,0.2600166952474028,0.544505228525519,0.5887385916943648,0.28181023502475633,0.3075829839461847,0.43888526357534047,0.4365511565552432,0.37971766812583474
$G_{2}$ $G_{3}$ $G_{5}$ ,0.453449043718125,0.28212712624851755,0.3283468312930777,0.4175905637743154,0.5562727798670752,0.14525986895345738,0.38434978744514825,0.031098502897619305,0.1743960127593358,0.48017318585732693,0.53632636209618,0.22405192640168722,0.24955214958463906,0.39038877266935734,0.41219719108057845,0.34123788784293224
$G_{2}$ $G_{3}$ $G_{4}$ ,0.516929433141922,0.3343809609556103,0.37297880525506055,0.43844239621408043,0.6106819690013632,0.17515543389121024,0.42733721389166607,0.07156014256278348,0.24612345325180346,0.5291101685378411,0.5603838314489168,0.2584353875952655,0.2860498899551837,0.4249079519723896,0.4213010627275235,0.3793378053293946
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.44497114057212583,0.27314070571850346,0.32772647752365697,0.406060964610523,0.5311369695908337,0.1196246664876291,0.38078896284522984,0.0018749619705147802,0.16050277076373648,0.4647781258696491,0.507971601850732,0.2006770789721964,0.22801905559363805,0.3764114610664065,0.3969470972528587,0.3408580250464921
$G_{1}$ ,0.616712149551643,0.3848267812469397,0.41475506573853255,0.4705388447343251,0.5760125482595021,0.25061529502014956,0.4723302183085532,0.22302120725340538,0.34214548445281684,0.6094512186604799,0.6487587939177042,0.2791596453350375,0.3748619511650683,0.4765044980892823,0.5115803881998511,0.3813086223978196
$G_{1}$ $G_{5}$ ,0.544753856981847,0.3235865260098328,0.36950273800712896,0.43815741313076767,0.4964675488489727,0.19508452761656842,0.42578196726211703,0.1533360266611367,0.25652480196474986,0.5451191759922879,0.5963465643195194,0.22140133671196838,0.3168311168035226,0.4280080071832992,0.48722642272518635,0.3428288421149171
$G_{1}$ $G_{4}$ ,0.6082342464056437,0.37584036071692556,0.41413471196911184,0.4590092455705327,0.5508767379832605,0.22498009255432128,0.46876939370863485,0.19379766632630085,0.3282522424572175,0.594056158672802,0.6204040336722563,0.25578479790554665,0.35332885717406726,0.4625271864863314,0.4963302943721314,0.38092875960137945
$G_{1}$ $G_{4}$ $G_{5}$ ,0.5362759538358477,0.31460010547981865,0.36888238423770825,0.42662781396697524,0.4713317385727311,0.16944932515074007,0.4222211426621987,0.12411248573403215,0.24263155996915053,0.52972411600461,0.5679918040740715,0.19802648928247754,0.2952980228125216,0.4140306955803483,0.47197632889746666,0.34244897931847695
$G_{1}$ $G_{3}$ ,0.514899875627414,0.33302938390554926,0.34358746134678575,0.45233743263855064,0.5570050760950909,0.22322819390633036,0.42384400379616566,0.13144981839683806,0.28458048457557306,0.5623902439844637,0.5728734675214462,0.25814476191087266,0.30213940393747474,0.4526320666613344,0.467673341200843,0.3299364658754133
$G_{1}$ $G_{3}$ $G_{5}$ ,0.44294158305761794,0.27178912866844235,0.2983351336153822,0.4199560010349932,0.47746007668456136,0.1676974265027492,0.3772957527497295,0.06176463780456938,0.19895980208750608,0.4980582013162716,0.5204612379232614,0.20038645328780358,0.24410856957592905,0.40413557575535125,0.4433193757261782,0.2914566855925108
$G_{1}$ $G_{3}$ $G_{4}$ ,0.506421972481415,0.3240429633755351,0.34296710757736504,0.44080783347475827,0.5318692658188493,0.19759299144050207,0.4202831791962473,0.10222627746973355,0.27068724257997373,0.5469951839967858,0.5445187072759982,0.23476991448138182,0.28060630994647373,0.4386547550583835,0.4524232473731232,0.32955660307897316
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.43446367991161877,0.2628027081384282,0.2977147798459615,0.40842640187120083,0.4523242664083198,0.14206222403692087,0.3737349281498111,0.032541096877464856,0.18506656009190678,0.4826631413285938,0.49210647767781335,0.17701160585831274,0.22257547558492802,0.3901582641524004,0.4280692818984585,0.2910768227960706
$G_{1}$ $G_{2}$ ,0.5925646595024893,0.35854291082689765,0.3774765800377305,0.4451510250948353,0.5485840368397593,0.1609803854222976,0.4014599381145154,0.12864204004062169,0.294539255392558,0.5677242023569891,0.603904360956729,0.2470380508216816,0.3245839364508826,0.44147938979285967,0.44975347117628517,0.36751506464521705
$G_{1}$ $G_{2}$ $G_{5}$ ,0.5206063669326932,0.2973026555897908,0.33222425230632696,0.41276959349127795,0.46903903742922987,0.10544961801871638,0.3549116870680792,0.05895685944835299,0.20891857290449103,0.503392159688797,0.5514921313585441,0.1892797421986125,0.2665531020893369,0.39298289888687654,0.4253995057016204,0.32903528436231455
$G_{1}$ $G_{2}$ $G_{4}$ ,0.5840867563564901,0.3495564902968835,0.3768562262683098,0.4336214259310429,0.5234482265635177,0.13534518295646925,0.397899113514597,0.09941849911351716,0.2806460133969587,0.5523291423693113,0.5755496007112809,0.22366320339219076,0.3030508424598816,0.4275020781899088,0.4345033773485654,0.36713520184877685
$G_{1}$ $G_{2}$ $G_{4}$ $G_{5}$ ,0.5121284637866941,0.28831623505977666,0.33160389853690625,0.4012399943274855,0.44390322715298824,0.07981441555288807,0.3513508624681608,0.029733318521248456,0.19502533090889174,0.48799709970111926,0.5231373711130962,0.16590489476912165,0.24502000809833593,0.37900558728392564,0.41014941187390064,0.32865542156587435
$G_{1}$ $G_{2}$ $G_{3}$ ,0.49075238557826034,0.30674551348550716,0.3063089756459837,0.42694961299906087,0.529576564675348,0.13359328430847833,0.3529737236021278,0.03707065118405438,0.23697425551531423,0.5206632276809728,0.528019034560471,0.22602316739751674,0.25186138922328904,0.4176069583649118,0.40584642417727707,0.3161429081228107
$G_{1}$ $G_{2}$ $G_{3}$ $G_{5}$ ,0.41879409300846426,0.24550525824840033,0.26105664791458016,0.3945681813955034,0.4500315652648185,0.07806251690489716,0.30642547255569164,-0.03261452940821432,0.15135357302724728,0.4563311850127808,0.47560680496228613,0.16826485877444763,0.19383055486174333,0.36911046745892867,0.3814924587026123,0.2776631278399082
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ ,0.4822744824322611,0.2977590929554931,0.305688621876563,0.41542001383526844,0.5044407543991064,0.10795808184265,0.3494128990022094,0.007847110256949851,0.22308101351971493,0.505268167693295,0.49966427431502297,0.2026483199680259,0.230328295232288,0.4036296467619609,0.3905963303495573,0.31576304532637056
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.4103161898624651,0.23651883771838622,0.26043629414515945,0.38303858223171106,0.42489575498857696,0.05242731443906884,0.3028646479557732,-0.061838070335318844,0.13746033103164798,0.44093612502510304,0.44725204471683816,0.1448900113449568,0.17229746087074232,0.35513315585597777,0.36624236487489253,0.27728326504346806
